                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1705,                 5.3883,                 4.2128,                0.00122,                 0.0181,                0.00084,                 0.0002,                 2.8986,                 4.5965,                 4.1026,             6.3728e-05,             6.3728e-05,             6.3728e-05
                      2,                 3.1308,                 5.2683,                 4.0292,                0.00214,                0.08893,                0.00207,                0.00059,                 2.8365,                 4.4545,                 3.8034,             0.00012141,             0.00012141,             0.00012141
                      3,                 2.9485,                 5.0885,                 3.7236,                 0.0013,                0.13839,                0.00209,                0.00061,                 2.7639,                  4.338,                 3.5944,             0.00017275,             0.00017275,             0.00017275
                      4,                 2.6254,                 4.8803,                 3.3242,                0.09182,                0.11609,                0.00529,                0.00177,                 2.4223,                 4.2261,                 3.2146,             0.00016349,             0.00016349,             0.00016349
                      5,                 2.2862,                 4.5449,                 2.9228,                0.27683,                0.02418,                0.00918,                0.00363,                 2.1932,                 4.2019,                 2.9431,             0.00015398,             0.00015398,             0.00015398
                      6,                 2.0464,                 4.2823,                 2.6604,                0.33292,                0.03026,                0.01985,                0.00896,                 2.0602,                 3.8575,                 2.7779,             0.00014448,             0.00014448,             0.00014448
                      7,                 1.9037,                 4.0926,                  2.501,                0.36551,                0.04904,                0.03006,                0.01396,                 1.9777,                 3.7364,                 2.6994,             0.00013498,             0.00013498,             0.00013498
                      8,                 1.7923,                 3.9586,                 2.4003,                0.35626,                0.06825,                0.03932,                0.02048,                  1.852,                  3.575,                 2.5471,             0.00012547,             0.00012547,             0.00012547
                      9,                 1.7329,                 3.8373,                 2.3323,                0.32158,                0.07339,                0.04436,                0.02332,                 1.8168,                 3.4862,                 2.5114,             0.00011597,             0.00011597,             0.00011597
                     10,                  1.695,                 3.7845,                 2.2901,                0.35489,                0.08428,                0.05312,                0.02909,                 1.7196,                 3.3711,                 2.4014,             0.00010646,             0.00010646,             0.00010646
                     11,                 1.6394,                 4.0899,                 2.2999,                0.30945,                0.09187,                0.06233,                0.03636,                 1.6194,                 3.2473,                 2.2486,              9.696e-05,              9.696e-05,              9.696e-05
                     12,                 1.5864,                 3.8998,                 2.2301,                0.30774,                0.09581,                0.07098,                0.04326,                 1.5859,                 3.1986,                 2.2052,             8.7456e-05,             8.7456e-05,             8.7456e-05
                     13,                 1.5409,                 3.7986,                  2.176,                  0.411,                0.11114,                0.08403,                0.05037,                 1.5759,                 3.1476,                 2.1898,             7.7952e-05,             7.7952e-05,             7.7952e-05
                     14,                 1.5082,                 3.7233,                 2.1473,                0.38766,                0.11469,                0.09103,                0.05762,                 1.5208,                 3.0623,                 2.1073,             6.8448e-05,             6.8448e-05,             6.8448e-05
                     15,                 1.4964,                 3.6742,                 2.1181,                0.38827,                0.12017,                0.09738,                0.06276,                 1.4866,                 3.0319,                 2.0915,             5.8944e-05,             5.8944e-05,             5.8944e-05
                     16,                 1.4711,                 3.6099,                 2.0966,                0.39181,                0.12419,                0.10318,                0.06645,                 1.4808,                 3.0145,                 2.0774,              4.944e-05,              4.944e-05,              4.944e-05
                     17,                 1.4474,                 3.5606,                 2.0715,                 0.3876,                0.12903,                0.10471,                0.06778,                 1.4615,                 2.9841,                 2.0827,             3.9936e-05,             3.9936e-05,             3.9936e-05
                     18,                 1.4317,                  3.547,                 2.0648,                0.35505,                0.12458,                 0.1092,                0.07188,                 1.4444,                 2.9641,                 2.0442,             3.0432e-05,             3.0432e-05,             3.0432e-05
                     19,                 1.4171,                 3.5044,                 2.0492,                0.37391,                0.12918,                0.11251,                0.07501,                 1.4263,                 2.9303,                 2.0233,             2.0928e-05,             2.0928e-05,             2.0928e-05
                     20,                 1.4205,                 3.4814,                 2.0498,                0.34742,                0.13325,                0.11382,                0.07575,                 1.4309,                 2.9185,                 2.0257,             1.1424e-05,             1.1424e-05,             1.1424e-05
