                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5152,                 3.8238,                 1.8643,                0.01042,                0.13713,                0.00863,                0.00479,                 2.6634,                 104.87,                 3.9405,               0.070128,              0.0033191,              0.0033191
                      2,                 1.5383,                 3.6414,                 1.9025,                0.25133,                0.09804,                0.01449,                0.00577,                 2.0284,                 6.6163,                 2.7862,               0.039908,               0.006433,               0.006433
                      3,                 1.4498,                 3.5249,                 1.8175,                0.36224,                0.06388,                0.01953,                0.01049,                 1.8108,                 4.3947,                 2.4693,              0.0094686,              0.0093268,              0.0093268
                      4,                 1.3482,                 3.3675,                 1.7342,                0.37184,                0.10983,                0.03846,                0.02256,                 1.5188,                 3.6692,                 2.0435,                0.00901,                0.00901,                0.00901
                      5,                 1.3014,                 3.3057,                 1.6952,                0.43661,                0.11176,                0.05104,                0.03173,                 1.4728,                 3.3728,                 2.0107,                0.00868,                0.00868,                0.00868
                      6,                 1.2661,                 3.2279,                 1.6536,                0.57755,                0.10302,                0.05915,                0.03305,                 1.4875,                 3.5095,                 2.0056,                0.00835,                0.00835,                0.00835
                      7,                 1.2157,                 3.1665,                 1.6136,                0.50532,                0.12895,                0.08095,                0.05176,                 1.3334,                 3.1796,                 1.8402,                0.00802,                0.00802,                0.00802
                      8,                 1.2016,                 3.1316,                 1.6007,                0.53514,                 0.1416,                  0.078,                0.04959,                 1.3452,                 3.1608,                 1.8255,                0.00769,                0.00769,                0.00769
                      9,                 1.1751,                 3.0753,                 1.5795,                0.67706,                 0.1204,                0.08726,                0.05988,                 1.3108,                 3.0158,                 1.8201,                0.00736,                0.00736,                0.00736
                     10,                 1.1519,                 3.0281,                 1.5601,                0.64785,                0.13729,                 0.1173,                0.08187,                 1.2916,                 3.0216,                 1.7994,                0.00703,                0.00703,                0.00703
                     11,                 1.1307,                 2.9956,                  1.545,                0.59863,                0.14263,                0.10707,                0.07516,                 1.2479,                 3.0456,                 1.7767,                 0.0067,                 0.0067,                 0.0067
                     12,                  1.095,                 2.9234,                 1.5116,                0.60483,                0.14794,                0.11787,                 0.0785,                 1.2762,                 2.9707,                  1.748,                0.00637,                0.00637,                0.00637
                     13,                 1.0829,                 2.8794,                 1.5086,                0.50427,                0.16572,                0.12611,                0.08262,                 1.1881,                 2.9055,                  1.683,                0.00604,                0.00604,                0.00604
                     14,                 1.0712,                 2.8445,                  1.494,                0.55026,                0.17823,                0.13529,                0.09244,                 1.1956,                 2.8699,                 1.6858,                0.00571,                0.00571,                0.00571
                     15,                 1.0456,                 2.7477,                 1.4689,                 0.5904,                0.17918,                 0.1542,                0.10617,                 1.1835,                  2.804,                 1.7163,                0.00538,                0.00538,                0.00538
                     16,                  1.031,                 2.7468,                 1.4729,                0.63035,                0.15957,                0.16824,                0.12411,                 1.0706,                  2.653,                 1.5986,                0.00505,                0.00505,                0.00505
                     17,                 1.0118,                 2.6653,                 1.4455,                 0.5756,                0.21399,                0.17904,                0.13087,                 1.0683,                 2.6177,                 1.5526,                0.00472,                0.00472,                0.00472
                     18,                  1.011,                 2.6381,                  1.453,                0.54346,                0.21557,                0.18513,                0.13321,                 1.1232,                 2.5889,                 1.6113,                0.00439,                0.00439,                0.00439
                     19,                0.98213,                 2.5831,                 1.4334,                0.56266,                0.23026,                0.18533,                0.13574,                 1.0299,                 2.5128,                  1.528,                0.00406,                0.00406,                0.00406
                     20,                0.96284,                 2.5379,                 1.4166,                0.52847,                0.21014,                0.17871,                0.12501,                 1.0624,                 2.5855,                 1.5545,                0.00373,                0.00373,                0.00373
                     21,                 1.0231,                 2.6224,                 1.5466,                0.71346,                0.20626,                0.20471,                0.14767,                 1.0683,                  2.471,                 1.5748,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.0102,                 2.5285,                 1.5312,                0.54316,                0.22781,                0.20388,                 0.1536,                 1.0138,                 2.5182,                 1.5233,                0.00307,                0.00307,                0.00307
                     23,                0.96816,                 2.4385,                 1.4917,                0.63283,                0.21229,                0.22343,                0.17189,                0.98613,                 2.3566,                 1.4812,                0.00274,                0.00274,                0.00274
                     24,                0.93069,                 2.3885,                 1.4558,                0.71205,                0.21616,                0.23357,                0.17697,                0.96339,                 2.3418,                 1.4729,                0.00241,                0.00241,                0.00241
                     25,                 0.9032,                 2.2951,                 1.4317,                0.57752,                0.24763,                0.25824,                 0.1941,                0.93071,                 2.2624,                 1.4394,                0.00208,                0.00208,                0.00208
                     26,                0.86329,                 2.2458,                 1.3964,                0.60794,                 0.2625,                0.26989,                0.21211,                0.88042,                 2.2047,                  1.397,                0.00175,                0.00175,                0.00175
                     27,                0.85052,                 2.2174,                 1.3889,                0.53669,                 0.3078,                0.29011,                0.22143,                0.87902,                 2.1984,                 1.3828,                0.00142,                0.00142,                0.00142
                     28,                0.81438,                  2.115,                   1.36,                0.55597,                 0.3097,                0.28496,                0.22492,                0.84496,                 2.0929,                 1.3577,                0.00109,                0.00109,                0.00109
                     29,                 0.7788,                 2.0477,                 1.3285,                0.57975,                 0.2823,                0.32299,                0.25081,                0.81861,                 2.0268,                 1.3343,                0.00076,                0.00076,                0.00076
                     30,                0.76224,                 1.9807,                 1.3098,                 0.5684,                0.31125,                0.32852,                0.25886,                0.79294,                 1.9569,                 1.3026,                0.00043,                0.00043,                0.00043
